device,filename,session_id,activity,fall_binary,split,rows,duration,first_timestamp,last_timestamp
WATCH,SESSION_20260831_163857_AC7A_WATCH.csv,SESSION_20260831_163857_AC7A,STANDING,NORMAL,TRAIN,5307,35.463,1788174537457,1788174572920
WATCH,SESSION_20260831_163942_C471_WATCH.csv,SESSION_20260831_163942_C471,STANDING,NORMAL,TRAIN,5793,38.721,1788174582157,1788174620878
WATCH,SESSION_20260831_164029_08AD_WATCH.csv,SESSION_20260831_164029_08AD,STANDING,NORMAL,TRAIN,5424,36.253,1788174629957,1788174666210
WATCH,SESSION_20260831_164156_0B60_WATCH.csv,SESSION_20260831_164156_0B60,STANDING,NORMAL,TEST,3075,20.537,1788174716776,1788174737313
WATCH,SESSION_20260831_164222_2B63_WATCH.csv,SESSION_20260831_164222_2B63,STANDING,NORMAL,TRAIN,3963,26.48,1788174742920,1788174769400
WATCH,SESSION_20260831_164259_20DE_WATCH.csv,SESSION_20260831_164259_20DE,STANDING,NORMAL,TRAIN,4531,30.281,1788174779947,1788174810228
WATCH,SESSION_20260831_171552_10CB_WATCH.csv,SESSION_20260831_171552_10CB,STANDING,NORMAL,TRAIN,4103,27.393,1788176752793,1788176780186
WATCH,SESSION_20260831_171624_838F_WATCH.csv,SESSION_20260831_171624_838F,STANDING,NORMAL,TRAIN,3810,25.435,1788176784769,1788176810204
WATCH,SESSION_20260831_171706_B5E5_WATCH.csv,SESSION_20260831_171706_B5E5,STANDING,NORMAL,TRAIN,4395,29.34,1788176826292,1788176855632
WATCH,SESSION_20260831_171746_0D64_WATCH.csv,SESSION_20260831_171746_0D64,STANDING,NORMAL,TRAIN,4839,32.317,1788176866871,1788176899188
WATCH,SESSION_20260831_171825_3B40_WATCH.csv,SESSION_20260831_171825_3B40,STANDING,NORMAL,TRAIN,3438,22.948,1788176905748,1788176928696
WATCH,SESSION_20260831_171909_4363_WATCH.csv,SESSION_20260831_171909_4363,STANDING,NORMAL,TRAIN,5463,36.494,1788176949355,1788176985849
WATCH,SESSION_20260831_172356_AD7C_WATCH.csv,SESSION_20260831_172356_AD7C,STANDING,NORMAL,TRAIN,4629,30.901,1788177236076,1788177266977
WATCH,SESSION_20260831_172506_E1DB_WATCH.csv,SESSION_20260831_172506_E1DB,WALKING,NORMAL,TEST,4878,32.569,1788177306358,1788177338927
WATCH,SESSION_20260831_172608_5B78_WATCH.csv,SESSION_20260831_172608_5B78,WALKING,NORMAL,TRAIN,5558,37.127,1788177368449,1788177405576
WATCH,SESSION_20260831_172742_EC4F_WATCH.csv,SESSION_20260831_172742_EC4F,WALKING,NORMAL,TRAIN,3360,22.442,1788177462084,1788177484526
WATCH,SESSION_20260831_172818_D500_WATCH.csv,SESSION_20260831_172818_D500,WALKING,NORMAL,TRAIN,3770,24.666,1788177499353,1788177524019
WATCH,SESSION_20260831_172925_A2DE_WATCH.csv,SESSION_20260831_172925_A2DE,WALKING,NORMAL,TRAIN,5064,33.824,1788177564857,1788177598681
WATCH,SESSION_20260831_173011_993C_WATCH.csv,SESSION_20260831_173011_993C,WALKING,NORMAL,TRAIN,4533,30.277,1788177611550,1788177641827
WATCH,SESSION_20260831_173055_5498_WATCH.csv,SESSION_20260831_173055_5498,WALKING,NORMAL,TRAIN,3495,23.341,1788177655681,1788177679022
WATCH,SESSION_20260831_173126_6EC4_WATCH.csv,SESSION_20260831_173126_6EC4,WALKING,NORMAL,TRAIN,4335,28.956,1788177686917,1788177715873
WATCH,SESSION_20260831_173158_6335_WATCH.csv,SESSION_20260831_173158_6335,WALKING,NORMAL,TRAIN,4164,27.815,1788177718916,1788177746731
WATCH,SESSION_20260831_173238_97EA_WATCH.csv,SESSION_20260831_173238_97EA,WALKING,NORMAL,TRAIN,4435,29.649,1788177758276,1788177787925
WATCH,SESSION_20260831_173312_A01F_WATCH.csv,SESSION_20260831_173312_A01F,WALKING,NORMAL,TRAIN,4560,30.467,1788177792372,1788177822839
WATCH,SESSION_20260831_173401_85DF_WATCH.csv,SESSION_20260831_173401_85DF,WALKING,NORMAL,VALIDATION,4800,32.074,1788177841841,1788177873915
WATCH,SESSION_20260831_173437_76EF_WATCH.csv,SESSION_20260831_173437_76EF,WALKING,NORMAL,TRAIN,3063,20.243,1788177878035,1788177898278
WATCH,SESSION_20260831_173502_D661_WATCH.csv,SESSION_20260831_173502_D661,WALKING,NORMAL,VALIDATION,3616,24.158,1788177902702,1788177926860
WATCH,SESSION_20260831_173529_6FDA_WATCH.csv,SESSION_20260831_173529_6FDA,WALKING,NORMAL,TRAIN,4358,29.116,1788177929202,1788177958318
WATCH,SESSION_20260831_173602_2220_WATCH.csv,SESSION_20260831_173602_2220,WALKING,NORMAL,TRAIN,5364,35.799,1788177962990,1788177998789
WATCH,SESSION_20260831_173653_8267_WATCH.csv,SESSION_20260831_173653_8267,WALKING,NORMAL,TRAIN,4125,27.56,1788178013448,1788178041008
WATCH,SESSION_20260831_173725_2ACE_WATCH.csv,SESSION_20260831_173725_2ACE,WALKING,NORMAL,TEST,4053,27.073,1788178045357,1788178072430
WATCH,SESSION_20260831_173759_42E9_WATCH.csv,SESSION_20260831_173759_42E9,WALKING,NORMAL,TRAIN,4407,29.45,1788178078422,1788178107872
WATCH,SESSION_20260831_173830_CCB4_WATCH.csv,SESSION_20260831_173830_CCB4,WALKING,NORMAL,VALIDATION,153,1.003,1788178109455,1788178110458
WATCH,SESSION_20260831_173836_E760_WATCH.csv,SESSION_20260831_173836_E760,WALKING,NORMAL,TRAIN,4649,31.082,1788178116071,1788178147153
WATCH,SESSION_20260831_173948_2EFE_WATCH.csv,SESSION_20260831_173948_2EFE,RUNNING,NORMAL,TRAIN,3465,23.151,1788178188355,1788178211506
WATCH,SESSION_20260831_174019_CCFC_WATCH.csv,SESSION_20260831_174019_CCFC,RUNNING,NORMAL,TRAIN,3541,23.302,1788178219501,1788178242803
WATCH,SESSION_20260831_174810_FB21_WATCH.csv,SESSION_20260831_174810_FB21,RUNNING,NORMAL,TRAIN,4359,29.107,1788178690457,1788178719564
WATCH,SESSION_20260831_174908_83BF_WATCH.csv,SESSION_20260831_174908_83BF,RUNNING,NORMAL,TRAIN,3315,22.134,1788178748488,1788178770622
WATCH,SESSION_20260831_174939_7196_WATCH.csv,SESSION_20260831_174939_7196,RUNNING,NORMAL,VALIDATION,4059,27.105,1788178779076,1788178806181
WATCH,SESSION_20260831_175018_4207_WATCH.csv,SESSION_20260831_175018_4207,RUNNING,NORMAL,TEST,4812,32.138,1788178818056,1788178850194
WATCH,SESSION_20260831_175103_BD56_WATCH.csv,SESSION_20260831_175103_BD56,RUNNING,NORMAL,TRAIN,4143,27.666,1788178863527,1788178891193
WATCH,SESSION_20260831_175147_6548_WATCH.csv,SESSION_20260831_175147_6548,RUNNING,NORMAL,TRAIN,5028,33.583,1788178907176,1788178940759
WATCH,SESSION_20260831_175235_70F6_WATCH.csv,SESSION_20260831_175235_70F6,RUNNING,NORMAL,TRAIN,4536,30.298,1788178955761,1788178986059
WATCH,SESSION_20260831_175323_AF41_WATCH.csv,SESSION_20260831_175323_AF41,RUNNING,NORMAL,TEST,4590,30.665,1788179003334,1788179033999
WATCH,SESSION_20260831_175423_7BD4_WATCH.csv,SESSION_20260831_175423_7BD4,RUNNING,NORMAL,TRAIN,5491,36.706,1788179063277,1788179099983
WATCH,SESSION_20260831_175512_AB17_WATCH.csv,SESSION_20260831_175512_AB17,RUNNING,NORMAL,TRAIN,5010,33.473,1788179112369,1788179145842
WATCH,SESSION_20260831_175553_D007_WATCH.csv,SESSION_20260831_175553_D007,RUNNING,NORMAL,TEST,5415,36.178,1788179153693,1788179189871
WATCH,SESSION_20260831_175637_A348_WATCH.csv,SESSION_20260831_175637_A348,RUNNING,NORMAL,TRAIN,6587,52.86,1788179197181,1788179250041
WATCH,SESSION_20260831_175744_E437_WATCH.csv,SESSION_20260831_175744_E437,RUNNING,NORMAL,VALIDATION,4417,37.04,1788179264039,1788179301079
WATCH,SESSION_20260831_175834_C5EB_WATCH.csv,SESSION_20260831_175834_C5EB,RUNNING,NORMAL,TRAIN,6034,43.859,1788179314443,1788179358302
WATCH,SESSION_20260831_175933_9FD3_WATCH.csv,SESSION_20260831_175933_9FD3,RUNNING,NORMAL,VALIDATION,3875,32.819,1788179373335,1788179406154
WATCH,SESSION_20260831_180150_82B1_WATCH.csv,SESSION_20260831_180150_82B1,RUNNING,NORMAL,TRAIN,2163,14.433,1788179510493,1788179524926
WATCH,SESSION_20260831_180223_B897_WATCH.csv,SESSION_20260831_180223_B897,RUNNING,NORMAL,TRAIN,3747,25.022,1788179543554,1788179568576
WATCH,SESSION_20260831_181509_1EDE_WATCH.csv,SESSION_20260831_181509_1EDE,LYING_DOWN,NORMAL,TEST,5607,37.452,1788180309834,1788180347286
WATCH,SESSION_20260831_181635_D561_WATCH.csv,SESSION_20260831_181635_D561,LYING_DOWN,NORMAL,VALIDATION,5568,37.194,1788180395113,1788180432307
WATCH,SESSION_20260831_181754_ADAA_WATCH.csv,SESSION_20260831_181754_ADAA,LYING_DOWN,NORMAL,TRAIN,8394,56.093,1788180474044,1788180530137
WATCH,SESSION_20260831_181908_5D62_WATCH.csv,SESSION_20260831_181908_5D62,LYING_DOWN,NORMAL,TRAIN,6153,41.104,1788180548406,1788180589510
WATCH,SESSION_20260831_182016_B2A2_WATCH.csv,SESSION_20260831_182016_B2A2,LYING_DOWN,NORMAL,TRAIN,5631,37.612,1788180616755,1788180654367
WATCH,SESSION_20260831_182106_54E8_WATCH.csv,SESSION_20260831_182106_54E8,LYING_DOWN,NORMAL,VALIDATION,6822,45.578,1788180666536,1788180712114
WATCH,SESSION_20260831_183247_BA48_WATCH.csv,SESSION_20260831_183247_BA48,LYING_DOWN,NORMAL,TRAIN,7494,50.049,1788181367898,1788181417947
WATCH,SESSION_20260831_183346_8A57_WATCH.csv,SESSION_20260831_183346_8A57,LYING_DOWN,NORMAL,TRAIN,6671,44.573,1788181426233,1788181470806
WATCH,SESSION_20260831_183444_5C35_WATCH.csv,SESSION_20260831_183444_5C35,LYING_DOWN,NORMAL,TRAIN,5390,36.015,1788181484315,1788181520330
WATCH,SESSION_20260831_183534_1644_WATCH.csv,SESSION_20260831_183534_1644,LYING_DOWN,NORMAL,TEST,7212,48.188,1788181534280,1788181582468
WATCH,SESSION_20260831_183631_A4F6_WATCH.csv,SESSION_20260831_183631_A4F6,LYING_DOWN,NORMAL,TRAIN,7020,46.916,1788181591157,1788181638073
WATCH,SESSION_20260831_183728_F898_WATCH.csv,SESSION_20260831_183728_F898,LYING_DOWN,NORMAL,TEST,11256,74.834,1788181648622,1788181723456
WATCH,SESSION_20260831_183945_DF57_WATCH.csv,SESSION_20260831_183945_DF57,JUMPING,NORMAL,TRAIN,1671,11.147,1788181785855,1788181797002
WATCH,SESSION_20260831_184006_7A09_WATCH.csv,SESSION_20260831_184006_7A09,JUMPING,NORMAL,TRAIN,1568,10.469,1788181806396,1788181816865
WATCH,SESSION_20260831_184024_65BA_WATCH.csv,SESSION_20260831_184024_65BA,JUMPING,NORMAL,TEST,1785,11.914,1788181824392,1788181836306
WATCH,SESSION_20260831_184042_4EAB_WATCH.csv,SESSION_20260831_184042_4EAB,JUMPING,NORMAL,TRAIN,1756,11.729,1788181842093,1788181853822
WATCH,SESSION_20260831_184103_31CF_WATCH.csv,SESSION_20260831_184103_31CF,JUMPING,NORMAL,TRAIN,1860,12.411,1788181863992,1788181876403
WATCH,SESSION_20260831_184122_7DB9_WATCH.csv,SESSION_20260831_184122_7DB9,JUMPING,NORMAL,TRAIN,2037,13.604,1788181881756,1788181895360
WATCH,SESSION_20260831_184143_D6B4_WATCH.csv,SESSION_20260831_184143_D6B4,JUMPING,NORMAL,TRAIN,1816,12.138,1788181903393,1788181915531
WATCH,SESSION_20260831_184201_9924_WATCH.csv,SESSION_20260831_184201_9924,JUMPING,NORMAL,TRAIN,1902,12.7,1788181921579,1788181934279
WATCH,SESSION_20260831_184219_8DD2_WATCH.csv,SESSION_20260831_184219_8DD2,JUMPING,NORMAL,VALIDATION,1971,13.156,1788181939123,1788181952279
WATCH,SESSION_20260831_184237_E6D6_WATCH.csv,SESSION_20260831_184237_E6D6,JUMPING,NORMAL,TRAIN,2053,13.714,1788181957372,1788181971086
WATCH,SESSION_20260831_184307_C301_WATCH.csv,SESSION_20260831_184307_C301,JUMPING,NORMAL,TEST,2813,18.791,1788181987701,1788182006492
WATCH,SESSION_20260831_184330_933C_WATCH.csv,SESSION_20260831_184330_933C,JUMPING,NORMAL,TEST,1755,11.71,1788182010996,1788182022706
WATCH,SESSION_20260831_184347_BE3A_WATCH.csv,SESSION_20260831_184347_BE3A,JUMPING,NORMAL,VALIDATION,2358,15.718,1788182027420,1788182043138
WATCH,SESSION_20260831_184408_0CDA_WATCH.csv,SESSION_20260831_184408_0CDA,JUMPING,NORMAL,TRAIN,2217,14.8,1788182047856,1788182062656
WATCH,SESSION_20260831_184427_ECA5_WATCH.csv,SESSION_20260831_184427_ECA5,JUMPING,NORMAL,TRAIN,1734,11.571,1788182067623,1788182079194
WATCH,SESSION_20260831_184445_32CC_WATCH.csv,SESSION_20260831_184445_32CC,JUMPING,NORMAL,TRAIN,2313,15.439,1788182085099,1788182100538
WATCH,SESSION_20260831_184507_4BF0_WATCH.csv,SESSION_20260831_184507_4BF0,JUMPING,NORMAL,VALIDATION,1722,11.489,1788182107044,1788182118533
WATCH,SESSION_20260831_184523_0FFF_WATCH.csv,SESSION_20260831_184523_0FFF,JUMPING,NORMAL,TRAIN,2064,13.775,1788182123699,1788182137474
WATCH,SESSION_20260831_184542_5360_WATCH.csv,SESSION_20260831_184542_5360,JUMPING,NORMAL,TRAIN,1824,12.037,1788182142569,1788182154606
WATCH,SESSION_20260831_184559_71DB_WATCH.csv,SESSION_20260831_184559_71DB,JUMPING,NORMAL,TRAIN,1896,12.656,1788182159217,1788182171873
WATCH,SESSION_20260831_184649_0CC5_WATCH.csv,SESSION_20260831_184649_0CC5,SIT_DOWN,NORMAL,TRAIN,525,3.487,1788182209377,1788182212864
WATCH,SESSION_20260831_184658_F22A_WATCH.csv,SESSION_20260831_184658_F22A,SIT_DOWN,NORMAL,TRAIN,654,4.35,1788182218236,1788182222586
WATCH,SESSION_20260831_184732_B0F8_WATCH.csv,SESSION_20260831_184732_B0F8,SIT_DOWN,NORMAL,TRAIN,816,5.433,1788182252124,1788182257557
WATCH,SESSION_20260831_185256_E3F7_WATCH.csv,SESSION_20260831_185256_E3F7,SIT_DOWN,NORMAL,TEST,789,5.25,1788182576273,1788182581523
WATCH,SESSION_20260831_185306_76E6_WATCH.csv,SESSION_20260831_185306_76E6,SIT_DOWN,NORMAL,VALIDATION,750,4.991,1788182586584,1788182591575
WATCH,SESSION_20260831_185318_27B2_WATCH.csv,SESSION_20260831_185318_27B2,SIT_DOWN,NORMAL,TRAIN,609,4.046,1788182598094,1788182602140
WATCH,SESSION_20260831_185356_5D86_WATCH.csv,SESSION_20260831_185356_5D86,SIT_DOWN,NORMAL,TRAIN,685,4.568,1788182636733,1788182641301
WATCH,SESSION_20260831_185403_440B_WATCH.csv,SESSION_20260831_185403_440B,SIT_DOWN,NORMAL,TRAIN,734,4.888,1788182643821,1788182648709
WATCH,SESSION_20260831_185411_97E5_WATCH.csv,SESSION_20260831_185411_97E5,SIT_DOWN,NORMAL,TEST,571,3.807,1788182651109,1788182654916
WATCH,SESSION_20260831_185421_32CF_WATCH.csv,SESSION_20260831_185421_32CF,SIT_DOWN,NORMAL,TRAIN,632,4.225,1788182661365,1788182665590
WATCH,SESSION_20260831_185442_7228_WATCH.csv,SESSION_20260831_185442_7228,SIT_DOWN,NORMAL,TRAIN,1262,8.402,1788182682989,1788182691391
WATCH,SESSION_20260831_185458_FA00_WATCH.csv,SESSION_20260831_185458_FA00,SIT_DOWN,NORMAL,TRAIN,1079,7.193,1788182697950,1788182705143
WATCH,SESSION_20260831_185924_B416_WATCH.csv,SESSION_20260831_185924_B416,SIT_DOWN,NORMAL,TRAIN,1167,7.772,1788182965013,1788182972785
WATCH,SESSION_20260831_185938_6005_WATCH.csv,SESSION_20260831_185938_6005,SIT_DOWN,NORMAL,TEST,1014,6.753,1788182978223,1788182984976
WATCH,SESSION_20260831_185951_7FE5_WATCH.csv,SESSION_20260831_185951_7FE5,SIT_DOWN,NORMAL,VALIDATION,963,6.412,1788182991795,1788182998207
WATCH,SESSION_20260831_190005_DC06_WATCH.csv,SESSION_20260831_190005_DC06,STAND_UP,NORMAL,VALIDATION,1049,6.995,1788183005366,1788183012361
WATCH,SESSION_20260831_190017_5716_WATCH.csv,SESSION_20260831_190017_5716,STAND_UP,NORMAL,VALIDATION,822,5.472,1788183017544,1788183023016
WATCH,SESSION_20260831_190029_489A_WATCH.csv,SESSION_20260831_190029_489A,STAND_UP,NORMAL,TRAIN,789,5.252,1788183029538,1788183034790
WATCH,SESSION_20260831_190038_3ACC_WATCH.csv,SESSION_20260831_190038_3ACC,STAND_UP,NORMAL,TRAIN,775,5.017,1788183039178,1788183044195
WATCH,SESSION_20260831_190050_0EEF_WATCH.csv,SESSION_20260831_190050_0EEF,STAND_UP,NORMAL,TRAIN,840,5.591,1788183050052,1788183055643
WATCH,SESSION_20260831_190232_89EC_WATCH.csv,SESSION_20260831_190232_89EC,STAND_UP,NORMAL,TRAIN,778,5.193,1788183152515,1788183157708
WATCH,SESSION_20260831_190242_0E96_WATCH.csv,SESSION_20260831_190242_0E96,STAND_UP,NORMAL,VALIDATION,729,4.85,1788183162875,1788183167725
WATCH,SESSION_20260831_190253_E408_WATCH.csv,SESSION_20260831_190253_E408,STAND_UP,NORMAL,TRAIN,675,4.49,1788183173405,1788183177895
WATCH,SESSION_20260831_190306_593F_WATCH.csv,SESSION_20260831_190306_593F,STAND_UP,NORMAL,TEST,810,5.392,1788183186522,1788183191914
WATCH,SESSION_20260831_190320_30FA_WATCH.csv,SESSION_20260831_190320_30FA,STAND_UP,NORMAL,TRAIN,703,4.69,1788183200517,1788183205207
WATCH,SESSION_20260831_190330_12B0_WATCH.csv,SESSION_20260831_190330_12B0,STAND_UP,NORMAL,VALIDATION,699,4.653,1788183210449,1788183215102
WATCH,SESSION_20260831_190340_29E7_WATCH.csv,SESSION_20260831_190340_29E7,STAND_UP,NORMAL,TRAIN,745,4.972,1788183220246,1788183225218
WATCH,SESSION_20260831_190350_DD94_WATCH.csv,SESSION_20260831_190350_DD94,STAND_UP,NORMAL,TRAIN,663,4.412,1788183230100,1788183234512
WATCH,SESSION_20260831_190358_1086_WATCH.csv,SESSION_20260831_190358_1086,STAND_UP,NORMAL,TRAIN,921,6.134,1788183238735,1788183244869
WATCH,SESSION_20260831_190405_0008_WATCH.csv,SESSION_20260831_190405_0008,STAND_UP,NORMAL,TEST,277,1.845,1788183245590,1788183247435
WATCH,SESSION_20260831_190414_8F50_WATCH.csv,SESSION_20260831_190414_8F50,STAND_UP,NORMAL,TRAIN,597,3.968,1788183254578,1788183258546
WATCH,SESSION_20260831_190454_FB67_WATCH.csv,SESSION_20260831_190454_FB67,STAND_UP,NORMAL,TRAIN,1158,7.716,1788183294424,1788183302140
WATCH,SESSION_20260831_190509_9CC0_WATCH.csv,SESSION_20260831_190509_9CC0,STAND_UP,NORMAL,TRAIN,1080,7.195,1788183309607,1788183316802
WATCH,SESSION_20260831_190525_4D37_WATCH.csv,SESSION_20260831_190525_4D37,STAND_UP,NORMAL,TRAIN,821,5.473,1788183325215,1788183330688
WATCH,SESSION_20260831_190536_25B8_WATCH.csv,SESSION_20260831_190536_25B8,STAND_UP,NORMAL,TRAIN,1002,6.557,1788183336393,1788183342950
WATCH,SESSION_20260831_190550_4289_WATCH.csv,SESSION_20260831_190550_4289,STAND_UP,NORMAL,TRAIN,771,5.132,1788183349890,1788183355022
WATCH,SESSION_20260831_190600_DF3E_WATCH.csv,SESSION_20260831_190600_DF3E,STAND_UP,NORMAL,TRAIN,1047,6.973,1788183359731,1788183366704
WATCH,SESSION_20260831_190611_3214_WATCH.csv,SESSION_20260831_190611_3214,STAND_UP,NORMAL,TEST,747,4.968,1788183371954,1788183376922
WATCH,SESSION_20260831_190624_A07E_WATCH.csv,SESSION_20260831_190624_A07E,STAND_UP,NORMAL,VALIDATION,656,4.371,1788183384553,1788183388924
WATCH,SESSION_20260831_190647_8CEF_WATCH.csv,SESSION_20260831_190647_8CEF,PICKING_UP_OBJECT,NORMAL,TRAIN,990,6.598,1788183407234,1788183413832
WATCH,SESSION_20260831_190706_40C5_WATCH.csv,SESSION_20260831_190706_40C5,PICKING_UP_OBJECT,NORMAL,TRAIN,824,5.492,1788183426250,1788183431742
WATCH,SESSION_20260831_190715_C864_WATCH.csv,SESSION_20260831_190715_C864,PICKING_UP_OBJECT,NORMAL,TEST,1242,8.278,1788183435863,1788183444141
WATCH,SESSION_20260831_190735_20D6_WATCH.csv,SESSION_20260831_190735_20D6,PICKING_UP_OBJECT,NORMAL,TRAIN,691,4.611,1788183455139,1788183459750
WATCH,SESSION_20260831_190747_F5A0_WATCH.csv,SESSION_20260831_190747_F5A0,PICKING_UP_OBJECT,NORMAL,TRAIN,765,5.092,1788183467092,1788183472184
WATCH,SESSION_20260831_190800_34FE_WATCH.csv,SESSION_20260831_190800_34FE,PICKING_UP_OBJECT,NORMAL,TRAIN,780,5.194,1788183480199,1788183485393
WATCH,SESSION_20260831_190811_174E_WATCH.csv,SESSION_20260831_190811_174E,PICKING_UP_OBJECT,NORMAL,TRAIN,590,3.93,1788183490868,1788183494798
WATCH,SESSION_20260831_190818_EB9D_WATCH.csv,SESSION_20260831_190818_EB9D,PICKING_UP_OBJECT,NORMAL,TRAIN,1152,7.68,1788183498240,1788183505920
WATCH,SESSION_20260831_190828_AE53_WATCH.csv,SESSION_20260831_190828_AE53,PICKING_UP_OBJECT,NORMAL,TRAIN,630,4.19,1788183508201,1788183512391
WATCH,SESSION_20260831_190835_B46D_WATCH.csv,SESSION_20260831_190835_B46D,PICKING_UP_OBJECT,NORMAL,TEST,1200,8.0,1788183514832,1788183522832
WATCH,SESSION_20260831_202723_0B37_WATCH.csv,SESSION_20260831_202723_0B37,FALL_FORWARD,FALL,TRAIN,4175,27.883,1788188243765,1788188271648
WATCH,SESSION_20260831_202815_5F50_WATCH.csv,SESSION_20260831_202815_5F50,FALL_FORWARD,FALL,TRAIN,5273,35.241,1788188294814,1788188330055
WATCH,SESSION_20260831_202911_51E2_WATCH.csv,SESSION_20260831_202911_51E2,FALL_FORWARD,FALL,TRAIN,4079,27.253,1788188350532,1788188377785
WATCH,SESSION_20260831_202954_9AEA_WATCH.csv,SESSION_20260831_202954_9AEA,FALL_FORWARD,FALL,TRAIN,5457,36.447,1788188393981,1788188430428
