--------- beginning of main
--------- beginning of system
09-02 19:03:38.085 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8795, AccPeak=11.07, AccMin=8.56, AccRange=2.51, AccStd=0.44, GyroPeak=1.67, JerkPeak=65.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:03:40.976 22240 29381 D PhoneFallML: Activity=WALKING, FallProb=0.6023, AccPeak=12.23, AccMin=7.00, AccRange=5.22, AccStd=1.21, GyroPeak=2.43, JerkPeak=161.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=9ms
09-02 19:03:41.363 22240 29381 D PhoneFallML: Activity=STAND_UP, FallProb=0.0973, AccPeak=11.75, AccMin=7.00, AccRange=4.75, AccStd=1.32, GyroPeak=2.43, JerkPeak=77.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=12ms
09-02 19:03:41.744 22240  1834 D PhoneFallML: Activity=SITTING, FallProb=0.1058, AccPeak=13.44, AccMin=6.78, AccRange=6.66, AccStd=1.44, GyroPeak=2.09, JerkPeak=61.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:03:42.124 22240 29345 D PhoneFallML: Activity=STAND_UP, FallProb=0.3728, AccPeak=14.86, AccMin=6.78, AccRange=8.08, AccStd=1.76, GyroPeak=7.04, JerkPeak=157.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:42.486 22240 29345 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.6049, AccPeak=14.86, AccMin=6.09, AccRange=8.77, AccStd=1.89, GyroPeak=7.04, JerkPeak=157.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:03:42.862 22240  2159 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.5354, AccPeak=12.23, AccMin=6.09, AccRange=6.14, AccStd=1.46, GyroPeak=7.04, JerkPeak=127.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:43.232 22240  2159 D PhoneFallML: Activity=SIT_DOWN, FallProb=0.4124, AccPeak=11.23, AccMin=8.47, AccRange=2.76, AccStd=0.60, GyroPeak=1.16, JerkPeak=38.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:43.610 22240  2159 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.5324, AccPeak=10.42, AccMin=8.47, AccRange=1.95, AccStd=0.45, GyroPeak=0.58, JerkPeak=33.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:43.983 22240 27959 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.4122, AccPeak=11.51, AccMin=7.48, AccRange=4.03, AccStd=0.82, GyroPeak=2.27, JerkPeak=63.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=9ms
09-02 19:03:44.352 22240 27959 D PhoneFallML: Activity=SITTING, FallProb=0.2667, AccPeak=21.17, AccMin=3.55, AccRange=17.62, AccStd=3.12, GyroPeak=5.78, JerkPeak=604.3, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:44.741 22240  2159 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.7784, AccPeak=58.85, AccMin=3.55, AccRange=55.30, AccStd=8.77, GyroPeak=7.11, JerkPeak=2129.6, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:45.115 22240 27959 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.6826, AccPeak=58.85, AccMin=4.69, AccRange=54.16, AccStd=8.56, GyroPeak=7.11, JerkPeak=2129.6, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=7ms
09-02 19:03:45.486 22240  2159 D PhoneFallML: Activity=STAND_UP, FallProb=0.1022, AccPeak=13.45, AccMin=6.44, AccRange=7.00, AccStd=1.33, GyroPeak=4.31, JerkPeak=88.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:45.860 22240  1834 D PhoneFallML: Activity=STAND_UP, FallProb=0.2284, AccPeak=10.85, AccMin=7.56, AccRange=3.29, AccStd=0.63, GyroPeak=1.27, JerkPeak=99.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=9ms
09-02 19:03:46.224 22240 29345 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6792, AccPeak=10.85, AccMin=7.04, AccRange=3.80, AccStd=1.01, GyroPeak=1.03, JerkPeak=99.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=11ms
09-02 19:03:46.619 22240 29345 D PhoneFallML: Activity=STAND_UP, FallProb=0.2613, AccPeak=13.62, AccMin=7.03, AccRange=6.59, AccStd=1.75, GyroPeak=1.09, JerkPeak=96.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-02 19:03:47.012 22240 29345 D PhoneFallML: Activity=STAND_UP, FallProb=0.0197, AccPeak=13.62, AccMin=7.03, AccRange=6.59, AccStd=1.67, GyroPeak=2.33, JerkPeak=96.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=30ms
09-02 19:03:47.376 22240 29345 D PhoneFallML: Activity=STAND_UP, FallProb=0.0588, AccPeak=12.57, AccMin=7.54, AccRange=5.03, AccStd=1.42, GyroPeak=2.33, JerkPeak=104.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-02 19:03:47.733 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.4500, AccPeak=12.01, AccMin=7.54, AccRange=4.48, AccStd=0.82, GyroPeak=2.02, JerkPeak=74.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-02 19:03:48.104 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5598, AccPeak=24.04, AccMin=8.53, AccRange=15.50, AccStd=3.61, GyroPeak=2.12, JerkPeak=150.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:48.476 22240  1837 D PhoneFallML: Activity=WALKING, FallProb=0.1782, AccPeak=24.04, AccMin=4.51, AccRange=19.53, AccStd=4.37, GyroPeak=2.64, JerkPeak=150.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=10ms
09-02 19:03:48.862 22240 27959 D PhoneFallML: Activity=WALKING, FallProb=0.1983, AccPeak=14.63, AccMin=4.51, AccRange=10.13, AccStd=2.07, GyroPeak=2.64, JerkPeak=55.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:03:49.248 22240  2159 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8546, AccPeak=10.92, AccMin=5.22, AccRange=5.70, AccStd=1.35, GyroPeak=1.64, JerkPeak=52.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:49.608 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9179, AccPeak=10.92, AccMin=6.60, AccRange=4.32, AccStd=0.99, GyroPeak=1.50, JerkPeak=50.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:49.996 22240 29381 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5698, AccPeak=14.48, AccMin=6.60, AccRange=7.88, AccStd=2.21, GyroPeak=1.54, JerkPeak=51.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:03:50.304 22240 22240 W PhoneFallML: Countdown expired! Escalating to FALL_CONFIRMED -> SOS_TRIGGERED
09-02 19:03:50.435 22240 29345 D PhoneFallML: Activity=PICKING_UP_OBJECT, FallProb=0.1438, AccPeak=14.48, AccMin=7.31, AccRange=7.18, AccStd=2.22, GyroPeak=1.86, JerkPeak=55.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=6ms
09-02 19:03:50.815 22240 29381 D PhoneFallML: Activity=SITTING, FallProb=0.0764, AccPeak=17.66, AccMin=4.94, AccRange=12.73, AccStd=2.55, GyroPeak=2.15, JerkPeak=154.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=15ms
09-02 19:03:51.179 22240 29381 D PhoneFallML: Activity=WALKING, FallProb=0.2645, AccPeak=17.66, AccMin=4.94, AccRange=12.73, AccStd=2.19, GyroPeak=2.15, JerkPeak=154.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=6ms
09-02 19:03:51.538 22240 29345 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.4242, AccPeak=13.03, AccMin=8.17, AccRange=4.86, AccStd=1.18, GyroPeak=1.07, JerkPeak=63.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=8ms
09-02 19:03:51.907 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.4939, AccPeak=18.71, AccMin=7.33, AccRange=11.38, AccStd=2.90, GyroPeak=1.21, JerkPeak=284.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=10ms
09-02 19:03:52.258 22240  3006 D PhoneFallML: Activity=WALKING, FallProb=0.3067, AccPeak=18.71, AccMin=5.17, AccRange=13.55, AccStd=3.58, GyroPeak=1.21, JerkPeak=58.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=5ms
09-02 19:03:52.611 22240 29345 D PhoneFallML: Activity=WALKING, FallProb=0.1702, AccPeak=10.08, AccMin=5.17, AccRange=4.91, AccStd=1.37, GyroPeak=1.21, JerkPeak=56.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=11ms
09-02 19:03:53.032 22240 29345 D PhoneFallML: Activity=SIT_DOWN, FallProb=0.2118, AccPeak=10.28, AccMin=7.87, AccRange=2.42, AccStd=0.50, GyroPeak=2.01, JerkPeak=51.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=56ms
09-02 19:03:53.492 22240 27959 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.6473, AccPeak=12.47, AccMin=6.60, AccRange=5.87, AccStd=0.94, GyroPeak=2.75, JerkPeak=162.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=172ms
09-02 19:03:53.765 22240  2159 D PhoneFallML: Activity=FALL_LEFT, FallProb=0.5641, AccPeak=12.52, AccMin=6.33, AccRange=6.19, AccStd=1.48, GyroPeak=3.01, JerkPeak=162.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=74ms
09-02 19:03:54.084 22240  3006 D PhoneFallML: Activity=WALKING, FallProb=0.1519, AccPeak=12.52, AccMin=6.30, AccRange=6.22, AccStd=1.68, GyroPeak=3.01, JerkPeak=121.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=7ms
09-02 19:03:54.523 22240 29345 D PhoneFallML: Activity=SITTING, FallProb=0.0425, AccPeak=13.07, AccMin=6.30, AccRange=6.77, AccStd=1.51, GyroPeak=1.48, JerkPeak=88.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=54ms
09-02 19:03:54.996 22240 29345 D PhoneFallML: Activity=STAND_UP, FallProb=0.2199, AccPeak=13.07, AccMin=8.35, AccRange=4.71, AccStd=1.02, GyroPeak=1.12, JerkPeak=81.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=114ms
09-02 19:03:55.366 22240  1834 D PhoneFallML: Activity=STAND_UP, FallProb=0.4368, AccPeak=11.04, AccMin=7.99, AccRange=3.05, AccStd=0.73, GyroPeak=1.12, JerkPeak=95.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=16ms
09-02 19:03:55.694 22240  3006 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6250, AccPeak=10.40, AccMin=7.99, AccRange=2.42, AccStd=0.55, GyroPeak=1.28, JerkPeak=95.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=2ms
09-02 19:03:56.062 22240  3006 D PhoneFallML: Activity=STAND_UP, FallProb=0.1836, AccPeak=26.78, AccMin=6.44, AccRange=20.34, AccStd=3.79, GyroPeak=3.16, JerkPeak=277.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
09-02 19:03:56.427 22240  1837 D PhoneFallML: Activity=STAND_UP, FallProb=0.0556, AccPeak=26.78, AccMin=6.22, AccRange=20.56, AccStd=4.07, GyroPeak=3.16, JerkPeak=277.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=7ms
09-02 19:03:56.816 22240 27959 D PhoneFallML: Activity=STAND_UP, FallProb=0.0703, AccPeak=13.80, AccMin=6.22, AccRange=7.58, AccStd=1.66, GyroPeak=2.78, JerkPeak=108.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=9ms
09-02 19:03:57.171 22240  2159 D PhoneFallML: Activity=LYING_DOWN, FallProb=0.1485, AccPeak=11.41, AccMin=6.90, AccRange=4.52, AccStd=0.87, GyroPeak=1.47, JerkPeak=27.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
09-02 19:03:57.546 22240 29345 D PhoneFallML: Activity=LYING_DOWN, FallProb=0.0986, AccPeak=11.41, AccMin=8.29, AccRange=3.12, AccStd=0.60, GyroPeak=0.85, JerkPeak=30.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=7ms
09-02 19:03:57.915 22240 27959 D PhoneFallML: Activity=LYING_DOWN, FallProb=0.3291, AccPeak=19.65, AccMin=6.30, AccRange=13.35, AccStd=1.79, GyroPeak=7.29, JerkPeak=295.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=6ms
09-02 19:03:58.290 22240  2159 D PhoneFallML: Activity=STAND_UP, FallProb=0.1464, AccPeak=19.65, AccMin=3.45, AccRange=16.20, AccStd=2.77, GyroPeak=7.29, JerkPeak=327.7, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=3ms
